champion1,champion2,games,wins,win_rate
Nasus,Nidalee,22,7,31.82
Gangplank,Lee Sin,232,125,53.88
Riven,Poppy,143,90,62.94
Jax,Rammus,38,17,44.74
Riven,Lee Sin,300,181,60.33
Renekton,Nidalee,431,240,55.68
Sion,Nidalee,173,84,48.55
Tryndamere,Poppy,28,4,14.29
Neeko,Lee Sin,27,21,77.78
Vayne,Xin Zhao,44,17,38.64
Riven,Nidalee,246,131,53.25
Renekton,Kindred,160,88,55.0
Chogath,Graves,41,14,34.15
Sion,Mordekaiser,11,11,100.0
Yone,Nunu & Willump,40,15,37.5
Aurora,Mordekaiser,11,10,90.91
Gwen,Jarvan IV,377,195,51.72
Ornn,Jarvan IV,169,71,42.01
Vladimir,Pantheon,246,118,47.97
Jayce,Trundle,210,105,50.0
Irelia,Elise,57,33,57.89
Sejuani,Jarvan IV,18,2,11.11
Quinn,Xin Zhao,55,30,54.55
Jax,Jarvan IV,456,272,59.65
Ambessa,Skarner,97,49,50.52
Kled,Jarvan IV,134,71,52.99
Janna,Hecarim,20,19,95.0
Fiora,Trundle,141,68,48.23
Sion,Vi,147,79,53.74
KSante,Shyvana,24,5,20.83
Heimerdinger,Lee Sin,52,24,46.15
Neeko,Nocturne,29,21,72.41
Aatrox,Ambessa,56,16,28.57
Gwen,Xin Zhao,332,178,53.61
Aatrox,Jarvan IV,369,188,50.95
Gwen,KhaZix,168,88,52.38
Riven,Trundle,226,125,55.31
Gwen,Sejuani,41,30,73.17
Nocturne,Hecarim,22,9,40.91
Shen,Hecarim,155,85,54.84
Gangplank,Udyr,123,73,59.35
Gwen,Nocturne,227,86,37.89
Sion,Volibear,111,65,58.56
Yone,Trundle,54,16,29.63
Yorick,Pantheon,288,163,56.6
Shen,Xin Zhao,226,117,51.77
Shen,Elise,92,45,48.91
Renekton,Ekko,280,161,57.5
Urgot,Wukong,75,40,53.33
Tryndamere,Pantheon,106,46,43.4
Ahri,Pantheon,21,2,9.52
Aurora,Zac,38,23,60.53
Sion,Trundle,129,75,58.14
Darius,Ekko,124,57,45.97
KSante,Volibear,121,64,52.89
Poppy,Trundle,46,25,54.35
Gragas,Master Yi,121,63,52.07
Shen,Pantheon,315,192,60.95
Ambessa,Chogath,27,17,62.96
Gwen,Shaco,64,22,34.38
Renekton,Viego,572,272,47.55
KSante,Skarner,24,6,25.0
Sylas,Belveth,11,11,100.0
Azir,Xin Zhao,42,15,35.71
Vayne,Fiddlesticks,15,13,86.67
Jax,Olaf,43,14,32.56
Tryndamere,Elise,46,13,28.26
Aurora,KhaZix,32,19,59.38
Sion,Pantheon,372,178,47.85
Aatrox,Vi,236,120,50.85
Shaco,Belveth,11,11,100.0
Ambessa,Diana,227,122,53.74
Jax,Karthus,93,52,55.91
Vladimir,Zed,140,61,43.57
Gragas,Pantheon,326,142,43.56
Irelia,Vi,112,49,43.75
Camille,Pantheon,173,114,65.9
Kled,Wukong,49,22,44.9
Riven,Rengar,134,68,50.75
Kled,Nunu & Willump,54,30,55.56
Rumble,Skarner,35,25,71.43
Aatrox,Nunu & Willump,136,64,47.06
Quinn,Shen,3,0,0.0
Renekton,Belveth,91,68,74.73
Camille,Belveth,49,24,48.98
