blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Gwen,Nautilus,Rakan,Nami,12.14,Zorah,LvMao,,,,
,,,,,,,Rare Atom,LNG Esports,blue_side,red_side
Gnar,Taliyah,Gwen,Jax,12.14,Demon,Flandre,,,,
Poppy,Azir,Wukong,Pantheon,12.14,View,JunJia,,,,
Kalista,Aphelios,Ryze,Galio,12.14,Shanks,Scout,,,,
LeBlanc,Zeri,Jinx,Draven,12.14,Xing,Viper,,,,
Ahri,Lucian,Braum,Rakan,12.14,Kedaya,meiko,,,,
,,,,,,,Team WE,Edward Gaming,red_side,blue_side
Fiora,Kalista,Yone,Gnar,12.14,Flandre,Demon,,,,
Trundle,Draven,Poppy,Viego,12.14,Jiejie,View,,,,
Gwen,Taliyah,LeBlanc,Azir,12.14,Scout,Shanks,,,,
Alistar,Yuumi,Sivir,Aphelios,12.14,Viper,Xing,,,,
Jax,Karma,Nautilus,Renata Glasc,12.14,meiko,Kedaya,,,,
,,,,,,,Edward Gaming,Team WE,blue_side,red_side
Lucian,Gnar,Kennen,Gangplank,12.14,TheShy,369,,,,
Wukong,Poppy,Pantheon,Xin Zhao,12.14,SofM,Kanavi,,,,
Yuumi,Zeri,Taliyah,Ahri,12.14,Angel,Yagao,,,,
Vi,Gwen,Aphelios,Kalista,12.14,huanfeng,Hope,,,,
Sejuani,Leona,Blitzcrank,Renata Glasc,12.14,ON,Missing,,,,
,,,,,,,Weibo Gaming,JD Gaming,red_side,blue_side
Gnar,Lucian,Sejuani,Shyvana,12.14,369,TheShy,,,,
Poppy,Zeri,Wukong,Viego,12.14,Kanavi,SofM,,,,
Gwen,Ahri,Sylas,Taliyah,12.14,Yagao,Angel,,,,
Blitzcrank,LeBlanc,Aphelios,Kalista,12.14,Hope,huanfeng,,,,
Leona,Azir,Renata Glasc,Ashe,12.14,Missing,ON,,,,
,,,,,,,JD Gaming,Weibo Gaming,blue_side,red_side
Poppy,Zeri,Fiora,Renekton,12.14,fearness,xiaoxiang,,,,
Azir,Kalista,Viego,Wukong,12.14,Shad0w,Beichuan,,,,
Sivir,Taliyah,Ahri,Ryze,12.14,YeG,Ucal,,,,
Gnar,Senna,Ezreal,Aphelios,12.14,Eric,Kepler,,,,
Gwen,Lucian,Leona,Nautilus,12.14,jinjiao,yaoyao,,,,
,,,,,,,LGD Gaming,TT,blue_side,red_side
Fiora,Azir,Akali,Gwen,12.14,xiaoxiang,fearness,,,,
Ahri,Taliyah,Poppy,Trundle,12.14,Beichuan,Shad0w,,,,
Zeri,Kalista,Sylas,Ryze,12.14,Ucal,YeG,,,,
Yuumi,Gnar,Aphelios,Sivir,12.14,Kepler,Eric,,,,
Lulu,Kennen,Leona,Braum,12.14,yaoyao,jinjiao,,,,
,,,,,,,TT,LGD Gaming,blue_side,red_side
Azir,Zeri,Gnar,Gwen,12.14,fearness,xiaoxiang,,,,
Poppy,Fiora,Lee Sin,Wukong,12.14,Shad0w,Beichuan,,,,
Kalista,Viego,Taliyah,Sylas,12.14,YeG,Ucal,,,,
Yuumi,Trundle,Tahm Kench,Sivir,12.14,jinjiao,Kepler,,,,
Rakan,Xin Zhao,Senna,Leona,12.14,Eric,yaoyao,,,,
,,,,,,,LGD Gaming,TT,red_side,blue_side
Taliyah,Zeri,Gnar,Sylas,12.13,Bin,Rich,,,,
Kalista,Poppy,Viego,Xin Zhao,12.13,WeiWei,XLB,,,,
Wukong,Renata Glasc,Ahri,Lissandra,12.13,icon,RooKie,,,,
Gwen,Ryze,Aphelios,Lucian,12.13,Doggo,Photic,,,,
Vi,Trundle,Lulu,Nami,12.13,Crisp,Ppgod,,,,
,,,,,,,Bilibili Gaming,Victory Five,red_side,blue_side
Gwen,Taliyah,Renekton,Camille,12.13,Rich,Bin,,,,
Jax,Draven,Poppy,Xin Zhao,12.13,XLB,WeiWei,,,,
Kalista,Gnar,Sylas,Ryze,12.13,RooKie,icon,,,,
Gangplank,Gragas,Lucian,Zeri,12.13,Photic,Doggo,,,,
Fiora,Sejuani,Nami,Yuumi,12.13,Ppgod,Crisp,,,,
,,,,,,,Victory Five,Bilibili Gaming,blue_side,red_side
Draven,Kalista,Sejuani,Fiora,12.13,Cube,Zika,,,,
Gnar,Zeri,Wukong,Vi,12.13,Leyan,XUN,,,,
Viego,Poppy,Azir,Taliyah,12.13,Strive,Mole,,,,
Ahri,Sylas,Sivir,Aphelios,12.13,iBOY,Ahn,,,,
Gwen,Jax,Yuumi,Renata Glasc,12.13,Zorah,Wink,,,,
,,,,,,,Rare Atom,Invictus Gaming,red_side,blue_side
Kalista,Wukong,Gwen,Jax,12.13,Zika,Cube,,,,
Poppy,Viego,Vi,Nidalee,12.13,XUN,Leyan,,,,
Zeri,Renata Glasc,Taliyah,Ahri,12.13,Mole,Strive,,,,
